Customer_ID,Name,Email,Age,Gender,Country,Campaign_Channel,Clicks,Impressions,Conversions,Spend_USD,Revenue_USD,Date
86ac7492-9faa-46a3-bd4d-96a68ea41ff1,Michelle Barnes,ewright@munoz.com,18,Male,Comoros,Email,39,3281,8,25.31,195.63,2025-02-23
5208e586-ae35-4469-b8f2-4e685dd1b3e3,Patty Grant,youngjoan@greer.com,55,Male,Azerbaijan,Referral,44,4169,2,142.15,442.54,2025-05-14
83fa51cd-686e-428c-8e2c-407222573f09,Anna Martinez,sharon46@cook.biz,46,Male,Kyrgyz Republic,Email,49,815,10,176.73,585.9,2025-04-22
a86e0263-a310-4e45-b602-f4cb917c573a,Jeffery Kelly,qmunoz@hotmail.com,29,Male,Bulgaria,Search Ads,12,1080,1,323.23,837.78,2025-02-28
993aca95-4797-43b6-815c-aa9e138c8acb,James Mcdonald,rebeccamiller@hotmail.com,65,Female,Montserrat,Referral,39,2438,1,243.71,179.47,2025-04-05
fbb913f3-405e-4549-beb1-3979ec1b1a99,Steven Gates,dunlapvincent@hotmail.com,28,Male,Antigua and Barbuda,Referral,19,825,0,248.43,96.19,2025-04-21
492a0603-0fea-43ad-b317-64343a84be6d,Tracy Morgan,barbara83@hotmail.com,26,Other,Turkey,Referral,39,104,5,69.24,882.38,2025-08-04
d86a85c4-3713-4aa6-84d3-8d39f52669d3,Christina Jackson,campbellcarl@vasquez-ortiz.com,26,Male,Hungary,Search Ads,24,2096,3,419.99,809.75,2025-05-21
5c197089-dc0b-4c83-931c-45e6ac166def,Tamara Davis,kmcclure@gmail.com,44,Female,Bhutan,Referral,12,3656,10,184.92,635.73,2025-08-12
80c39016-b6e2-439b-988c-03a9cccc2fb5,William Bradley,aaronwarren@lopez.com,51,Other,Guinea,Email,27,1431,8,100.5,695.65,2025-06-25
804616fa-6f9f-41a5-9879-895e95d60be2,Carolyn Diaz,cstevens@yahoo.com,18,Female,Cyprus,Social Media,38,306,1,175.97,780.41,2025-06-24
76c85b34-076b-4319-91e5-7347dc8b6a52,Jacqueline Fuentes,alyssawillis@yahoo.com,32,Female,Romania,Email,15,2854,0,285.83,262.73,2025-07-18
5a96ae33-f120-4897-83c5-0e435201fbbd,Rachel Taylor,alexander80@hotmail.com,64,Male,New Zealand,Social Media,19,1317,1,307.38,668.87,2025-03-07
c2e5189d-7205-4397-bb60-b4b6471b34c9,Elizabeth Allen,michael06@yahoo.com,30,Other,Netherlands Antilles,Referral,28,3904,4,342.49,293.72,2025-07-02
b90fadec-a864-4c35-b41e-fa9ba01aed51,Robert Lin,ramirezstephanie@hotmail.com,38,Male,Kuwait,Social Media,3,913,4,88.19,288.38,2025-05-22
2ce3ff29-148e-4dc9-97a6-a487db851afa,Andrea Shelton,allison83@yahoo.com,19,Female,Swaziland,Email,26,4229,6,301.05,722.58,2025-07-31
67988b61-f7aa-4112-92b0-c4452822f07e,Candace Martin,amandaflores@gmail.com,26,Male,Palau,Social Media,13,3503,0,157.13,633.52,2025-01-13
4c07fe73-c6ef-4275-a61d-6417b1f1ce6b,Alicia Sullivan,yulaura@howard-nolan.com,58,Other,Swaziland,Referral,42,4376,0,332.63,203.86,2025-04-26
